osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,service,ref,access,tunnel,bridge,junction
5353012,,path,,,False,True,8.994,,"LINESTRING (7.3782573 51.4870814, 7.3781925 51.4870113)",,,,,,
"[45090417, 935489018, 935488959]",,footway,,,False,False,26.220000000000002,,"LINESTRING (7.3782573 51.4870814, 7.3781968 51.4871016, 7.3780532 51.4871496, 7.3779998 51.4871675, 7.3779892 51.4872209)",,,,,,
45090420,,service,,,False,False,30.421999999999997,,"LINESTRING (7.3774248 51.4875358, 7.3775726 51.4875628, 7.3776493 51.4875525, 7.3778488 51.4875866)",parking_aisle,,permissive,,,
45090421,,service,,,False,True,5.822,,"LINESTRING (7.3779045 51.4877388, 7.3778869 51.4876876)",parking_aisle,,permissive,,,
766737853,Kleybredde,residential,30,,False,False,19.87,1,"LINESTRING (7.3779045 51.4877388, 7.3780691 51.4877194, 7.3781855 51.4877027)",,,,,,
766737853,Kleybredde,residential,30,,False,True,61.464,1,"LINESTRING (7.3779045 51.4877388, 7.3777287 51.4877594, 7.3773558 51.4878059, 7.3770302 51.4878331)",,,,,,
374587334,,service,,,True,False,15.79,,"LINESTRING (7.3750633 51.4954297, 7.3750611 51.4955717)",,,customers,,,
56724222,,service,,,True,False,26.337,,"LINESTRING (7.3750611 51.4955717, 7.3746807 51.4955681)",parking_aisle,,customers,,,
56724275,,service,,,False,True,90.504,,"LINESTRING (7.3750611 51.4955717, 7.3750585 51.4957177, 7.3739858 51.495707)",parking_aisle,,customers,,,
"[25897453, 5365047]",,footway,,,False,"[False, True]",16.815,,"LINESTRING (7.3757797 51.4873827, 7.3757648 51.4873774, 7.3755567 51.487323)",,,,,,
5365047,,footway,,,False,True,10.318000000000001,,"LINESTRING (7.3757797 51.4873827, 7.3757835 51.4873861, 7.3757862 51.4873932, 7.3757954 51.4874388, 7.3757911 51.4874741)",,,,,,
47298140,,footway,,,False,False,46.62,,"LINESTRING (7.3757797 51.4873827, 7.3760049 51.4870839, 7.3760666 51.4870034)",,,,,,
